batch,max_seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
16,16384,8192,8,4,h100,114,57,8,14592,456,80,50,2000,0,0.9201450195312499,attn
32,8192,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.17476735153198245,attn
64,8192,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.6979645721435546,attn
128,4096,4096,16,2,h100,114,57,8,14592,456,80,50,2000,0,0.4167709228515625,attn
64,16384,16384,128,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
32,512,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.009604468822479248,attn
128,16384,8192,32,1,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,4096,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.7499355224609375,attn
4,8192,1024,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.008339923143386841,attn
2,4096,8192,128,2,h100,114,57,8,14592,456,80,50,2000,0,0.01789042062759399,attn
64,8192,4096,16,4,h100,114,57,8,14592,456,80,50,2000,0,0.3223910064697265,attn
128,1024,16384,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.14330105895996095,attn
32,16384,4096,32,2,h100,114,57,8,14592,456,80,50,2000,0,0.9776067565917972,attn
64,4096,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.25373157196044926,attn
128,16384,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,8192,2048,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.17247087020874022,attn
32,8192,16384,128,2,h100,114,57,8,14592,456,80,50,2000,0,1.8391979003906247,attn
16,2048,2048,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.006065236830711365,attn
64,16384,16384,64,2,h100,114,57,8,14592,456,80,50,2000,0,,attn
128,4096,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.5619981781005859,attn
64,8192,8192,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.36942968749999994,attn
32,8192,16384,16,8,h100,114,57,8,14592,456,80,50,2000,0,0.571960906982422,attn
128,8192,4096,128,4,h100,114,57,8,14592,456,80,50,2000,0,1.1440021301269532,attn
64,2048,8192,64,1,h100,114,57,8,14592,456,80,50,2000,0,0.39973064117431634,attn
16,16384,4096,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.528645864868164,attn
16,4096,16384,32,2,h100,114,57,8,14592,456,80,50,2000,0,0.37954790954589845,attn
64,8192,4096,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.18101585388183597,attn
128,512,8192,8,8,h100,114,57,8,14592,456,80,50,2000,0,0.017110323333740234,attn
32,16384,4096,128,4,h100,114,57,8,14592,456,80,50,2000,0,1.050604833984375,attn
64,4096,2048,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.13555503158569335,attn
128,16384,16384,16,8,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,8192,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.674750198364258,attn
16,8192,8192,64,2,h100,114,57,8,14592,456,80,50,2000,0,0.3497003952026368,attn
32,1024,8192,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.01943604803085327,attn
64,16384,8192,128,1,h100,114,57,8,14592,456,80,50,2000,0,,attn
128,4096,2048,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.1535630142211914,attn
64,8192,16384,64,8,h100,114,57,8,14592,456,80,50,2000,0,,attn
32,8192,8192,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.20750011215209957,attn
128,8192,8192,32,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,2048,16384,128,2,h100,114,57,8,14592,456,80,50,2000,0,0.6035729919433593,attn
2,16384,4096,16,4,h100,114,57,8,14592,456,80,50,2000,0,0.033403979301452634,attn
4,2048,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.016977689361572262,attn
64,16384,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,1.0418459167480467,attn
128,8192,16384,128,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
32,8192,1024,32,2,h100,114,57,8,14592,456,80,50,2000,0,0.13442968215942386,attn
64,4096,8192,8,2,h100,114,57,8,14592,456,80,50,2000,0,0.5890753631591797,attn
128,8192,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,2048,4096,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.016904843139648438,attn
32,16384,16384,64,2,h100,114,57,8,14592,456,80,50,2000,0,,attn
16,8192,4096,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.07283946380615233,attn
64,8192,16384,16,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
128,4096,4096,64,1,h100,114,57,8,14592,456,80,50,2000,0,0.900015966796875,attn
64,16384,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
32,1024,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.06548167667388917,attn
128,16384,2048,64,2,h100,114,57,8,14592,456,80,50,2000,0,4.104356420898439,attn
64,4096,8192,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.2572002655029297,attn
