batch,seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
64,4096,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.22193561859130861,mlp
64,16384,16384,64,8,h100,114,57,8,14592,456,80,50,2000,0,,mlp
64,256,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.011148622369766235,mlp
128,8192,8192,128,1,h100,114,57,8,14592,456,80,50,2000,0,,mlp
4,8192,4096,16,4,h100,114,57,8,14592,456,80,50,2000,0,0.005583616042137146,mlp
32,8192,8192,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.10218392753601073,mlp
128,8192,16384,128,2,h100,114,57,8,14592,456,80,50,2000,0,,mlp
64,16384,2048,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.05447213764190674,mlp
32,4096,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.049552227592468266,mlp
32,8192,1024,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.003939976000785827,mlp
64,8192,8192,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.2120775535583496,mlp
128,16384,4096,128,4,h100,114,57,8,14592,456,80,50,2000,0,,mlp
16,2048,16384,64,2,h100,114,57,8,14592,456,80,50,2000,0,0.23178384628295895,mlp
16,16384,8192,32,2,h100,114,57,8,14592,456,80,50,2000,0,0.4584029983520507,mlp
128,4096,4096,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.09969379997253418,mlp
64,8192,16384,8,8,h100,114,57,8,14592,456,80,50,2000,0,,mlp
64,4096,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.22363215484619142,mlp
64,8192,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.46407635955810544,mlp
64,4096,2048,64,1,h100,114,57,8,14592,456,80,50,2000,0,0.055932436561584475,mlp
128,16384,16384,32,4,h100,114,57,8,14592,456,80,50,2000,0,,mlp
8,2048,4096,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.0013705167949199675,mlp
