batch,seq_length,n_embed,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
8,2048,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0002498560011386872,res_add
32,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0037872639894485473,res_add
64,2048,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0037857279777526857,res_add
128,16384,2048,a100,108,54,7,6912,432,40,40,1555,0,0.015126732683181762,res_add
32,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.015129190254211427,res_add
32,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.0018995200335979463,res_add
128,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.030238873481750483,res_add
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.03023467502593994,res_add
16,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0018998272299766545,res_add
4,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,0.0037866495847702028,res_add
64,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0075658240318298335,res_add
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.030237184238433835,res_add
64,1024,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0018990592241287234,res_add
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.03023825922012329,res_add
128,512,2048,a100,108,54,7,6912,432,40,40,1555,0,0.00048599039912223814,res_add
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.030235801506042475,res_add
8,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0019003392338752746,res_add
16,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0037866495847702028,res_add
64,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.015128678321838378,res_add
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.030241587352752685,res_add
32,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0037855231761932374,res_add
32,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015127091073989865,res_add
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.030236416053771975,res_add
64,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.007566592049598693,res_add
32,1024,16384,a100,108,54,7,6912,432,40,40,1555,0,0.0019000320315361024,res_add
16,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.003785625576972961,res_add
64,2048,4096,a100,108,54,7,6912,432,40,40,1555,0,0.001899161630868912,res_add
128,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,res_add
64,8192,1024,a100,108,54,7,6912,432,40,40,1555,0,0.00189998083114624,res_add
64,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0075657728433609,res_add
128,2048,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0075655679941177365,res_add
64,16384,2048,a100,108,54,7,6912,432,40,40,1555,0,0.007567974424362182,res_add
16,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.0037853183746337895,res_add
32,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.01512791042327881,res_add
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015128627157211302,res_add
128,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,res_add
32,2048,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0009569792062044143,res_add
32,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,0.03023749122619629,res_add
128,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.007566131258010865,res_add
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015129087924957273,res_add
16,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0018998784303665163,res_add
8,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.0004858367964625359,res_add
64,1024,16384,a100,108,54,7,6912,432,40,40,1555,0,0.003786700785160065,res_add
128,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.030241075134277345,res_add
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015128268623352047,res_add
64,16384,2048,a100,108,54,7,6912,432,40,40,1555,0,0.00756531205177307,res_add
128,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,res_add
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015128319931030271,res_add
2,512,8192,a100,108,54,7,6912,432,40,40,1555,0,4.41856000572443e-05,res_add
32,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.01512913918495178,res_add
64,4096,1024,a100,108,54,7,6912,432,40,40,1555,0,0.0009567232102155685,res_add
128,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,res_add
32,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0018992128312587738,res_add
32,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.01512990713119507,res_add
128,2048,8192,a100,108,54,7,6912,432,40,40,1555,0,0.007565414452552796,res_add
64,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,res_add
32,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.0019000320315361024,res_add
8,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.003786291182041169,res_add
64,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.007565260767936706,res_add
128,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.015130111980438232,res_add
64,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.015127603292465208,res_add
64,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.00756536319255829,res_add
128,2048,16384,a100,108,54,7,6912,432,40,40,1555,0,0.015130367851257324,res_add
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.03023989753723145,res_add
8,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.001899827235937119,res_add
32,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,0.030238259220123298,res_add
64,4096,2048,a100,108,54,7,6912,432,40,40,1555,0,0.0018995200335979463,res_add
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.03023759384155273,res_add
32,2048,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0009569280117750171,res_add
32,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015127244901657105,res_add
128,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.015131033515930176,res_add
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.03023554553985595,res_add
16,1024,2048,a100,108,54,7,6912,432,40,40,1555,0,0.0001321983978152275,res_add
1,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0002501119986176491,res_add
64,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.007566438412666321,res_add
128,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.030237952041625975,res_add
64,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.015130265569686888,res_add
64,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.015127910232543942,res_add
128,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015130060672760012,res_add
64,8192,1024,a100,108,54,7,6912,432,40,40,1555,0,0.0018997248351573944,res_add
8,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.001899417632818222,res_add
16,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0037858815789222713,res_add
64,512,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0009566208124160766,res_add
128,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,res_add
32,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.003786495983600617,res_add
32,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.015130163097381591,res_add
128,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.007567513632774353,res_add
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.030240307331085202,res_add
32,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0037866495847702028,res_add
16,16384,2048,a100,108,54,7,6912,432,40,40,1555,0,0.0018993664383888244,res_add
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.030238515377044677,res_add
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.030238259315490717,res_add
64,2048,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0037862399816513057,res_add
64,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,res_add
128,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.007565977597236634,res_add
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015130265474319459,res_add
16,2048,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0004855807960033417,res_add
32,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0037867007851600646,res_add
64,2048,16384,a100,108,54,7,6912,432,40,40,1555,0,0.007565363264083862,res_add
128,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,res_add
32,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0037866495847702028,res_add
32,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.007565516805648802,res_add
128,1024,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0037873663902282715,res_add
64,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.01513041911125183,res_add
16,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.00756572163105011,res_add
4,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0018987520277500148,res_add
128,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.007565311980247498,res_add
128,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,res_add
64,4096,2048,a100,108,54,7,6912,432,40,40,1555,0,0.0018988032281398773,res_add
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015132313585281373,res_add
128,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015127756690979002,res_add
64,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,res_add
4,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.00025052159875631327,res_add
16,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.007565363192558287,res_add
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.030242355251312258,res_add
128,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.00756695041656494,res_add
64,256,16384,a100,108,54,7,6912,432,40,40,1555,0,0.0009567232102155687,res_add
32,16384,1024,a100,108,54,7,6912,432,40,40,1555,0,0.0018996224343776707,res_add
128,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,res_add
64,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.00756546561717987,res_add
32,2048,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0018993152260780334,res_add
8,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.0037869567871093744,res_add
64,1024,4096,a100,108,54,7,6912,432,40,40,1555,0,0.000957184013724327,res_add
128,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,res_add
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015130931091308591,res_add
64,16384,2048,a100,108,54,7,6912,432,40,40,1555,0,0.007565721631050111,res_add
128,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,res_add
64,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.007567360043525695,res_add
16,1024,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0004861951991915703,res_add
32,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.015127705526351926,res_add
64,2048,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0018999808311462405,res_add
128,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,res_add
32,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.007566079998016358,res_add
32,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.007565158390998842,res_add
128,256,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0009565184056758883,res_add
64,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,res_add
16,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0018997760295867924,res_add
4,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0009568256080150607,res_add
64,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.007566694474220277,res_add
128,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.007565772843360902,res_add
64,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.015128934240341185,res_add
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015131187248229983,res_add
128,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015127142333984373,res_add
64,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.015129343986511232,res_add
4,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.000957132813334465,res_add
16,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,0.01512883186340332,res_add
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.01512734718322754,res_add
128,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,res_add
32,1024,2048,a100,108,54,7,6912,432,40,40,1555,0,0.0002506751991808415,res_add
32,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,0.030238361740112303,res_add
128,4096,1024,a100,108,54,7,6912,432,40,40,1555,0,0.001899776029586792,res_add
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015126988792419435,res_add
32,2048,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0009570304125547408,res_add
16,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0019001856386661534,res_add
64,2048,16384,a100,108,54,7,6912,432,40,40,1555,0,0.0075656192541122425,res_add
128,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,res_add
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.015126835060119628,res_add
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.030239283275604247,res_add
128,2048,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0037853183746337895,res_add
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.030237542247772215,res_add
16,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.003787059187889099,res_add
32,16384,2048,a100,108,54,7,6912,432,40,40,1555,0,0.003787519991397858,res_add
64,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.015126988744735717,res_add
128,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.015131238412857056,res_add
32,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.003786598384380341,res_add
32,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.007565772867202759,res_add
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.030239231872558593,res_add
64,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.0037858303785324094,res_add
16,512,16384,a100,108,54,7,6912,432,40,40,1555,0,0.00048542720079422,res_add
8,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0018995200395584108,res_add
64,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.007564441657066346,res_add
128,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,res_add
64,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0037874175786972047,res_add
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.030238822364807127,res_add
128,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.007566028809547423,res_add
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.030239334392547612,res_add
1,4096,1024,a100,108,54,7,6912,432,40,40,1555,0,2.3296000249683854e-05,res_add
16,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0037867519855499265,res_add
64,1024,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0019005952358245853,res_add
128,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.03023918113708496,res_add
32,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.015129446315765382,res_add
32,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.00378531837463379,res_add
128,2048,16384,a100,108,54,7,6912,432,40,40,1555,0,0.015130470275878905,res_add
