batch,max_seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
64,8192,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.907029040527344,attn
128,8192,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,4096,16384,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.5222300201416015,attn
4,16384,4096,16,2,a100,108,54,7,6912,432,40,40,1555,0,0.18858997879028322,attn
16,4096,16384,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.1587567108154297,attn
64,8192,4096,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.929484390258789,attn
128,1024,16384,8,2,a100,108,54,7,6912,432,40,40,1555,0,0.8802311157226563,attn
64,16384,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
32,2048,2048,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.02398863363265991,attn
128,16384,16384,16,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,8192,4096,64,1,a100,108,54,7,6912,432,40,40,1555,0,1.856968395996094,attn
32,8192,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.23500554428100587,attn
32,2048,16384,16,4,a100,108,54,7,6912,432,40,40,1555,0,0.22322611160278322,attn
64,16384,1024,128,4,a100,108,54,7,6912,432,40,40,1555,0,2.3708206665039064,attn
128,8192,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,,attn
32,8192,8192,64,1,a100,108,54,7,6912,432,40,40,1555,0,1.8761443908691409,attn
64,4096,4096,128,2,a100,108,54,7,6912,432,40,40,1555,0,0.4316351501464844,attn
128,8192,16384,64,8,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,512,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.029393971347808835,attn
16,16384,8192,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.8423446502685549,attn
2,8192,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.028801433467864995,attn
64,8192,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.90891904296875,attn
128,4096,4096,32,1,a100,108,54,7,6912,432,40,40,1555,0,1.0260608489990237,attn
64,16384,16384,128,8,a100,108,54,7,6912,432,40,40,1555,0,,attn
32,1024,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.01591976952552795,attn
128,16384,4096,8,2,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,4096,16384,64,2,a100,108,54,7,6912,432,40,40,1555,0,2.5735440307617186,attn
16,8192,2048,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.05346191368103028,attn
16,4096,8192,128,2,a100,108,54,7,6912,432,40,40,1555,0,0.1902645767211914,attn
64,8192,8192,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.520698777770996,attn
128,2048,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.9270512634277346,attn
32,16384,4096,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.7925865509033203,attn
64,4096,4096,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.12720337905883788,attn
128,16384,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,8192,2048,16,8,a100,108,54,7,6912,432,40,40,1555,0,0.08371153907775879,attn
8,8192,16384,128,2,a100,108,54,7,6912,432,40,40,1555,0,0.6298749908447266,attn
8,1024,2048,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.0010436607867479323,attn
64,16384,16384,32,1,a100,108,54,7,6912,432,40,40,1555,0,,attn
128,4096,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.7642959899902344,attn
64,8192,8192,16,4,a100,108,54,7,6912,432,40,40,1555,0,1.086280499267578,attn
32,8192,16384,32,4,a100,108,54,7,6912,432,40,40,1555,0,1.477940838623047,attn
128,8192,4096,128,2,a100,108,54,7,6912,432,40,40,1555,0,2.94507060546875,attn
64,4096,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.7017458129882812,attn
32,16384,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.7075507690429689,attn
32,4096,16384,64,2,a100,108,54,7,6912,432,40,40,1555,0,1.1257901245117188,attn
64,8192,4096,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.23449687042236328,attn
128,2048,8192,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.2813606948852539,attn
32,16384,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,1.7555446411132813,attn
64,4096,2048,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.16993310623168947,attn
128,16384,16384,16,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,8192,4096,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.23391718292236333,attn
8,8192,8192,32,2,a100,108,54,7,6912,432,40,40,1555,0,0.2513349632263183,attn
8,256,4096,16,8,a100,108,54,7,6912,432,40,40,1555,0,0.0005080576062202454,attn
64,16384,8192,128,2,a100,108,54,7,6912,432,40,40,1555,0,,attn
128,4096,2048,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.12888386459350581,attn
64,8192,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
32,8192,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,1.3599102416992188,attn
128,8192,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
128,2048,16384,128,1,a100,108,54,7,6912,432,40,40,1555,0,,attn
16,16384,4096,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.15427082061767577,attn
