batch,seq_length,n_embed,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
16,2048,16384,a100,108,54,7,6912,432,40,40,1555,0,0.01049082884788513,rms_norm
16,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.02121799669265747,rms_norm
128,2048,16384,a100,108,54,7,6912,432,40,40,1555,0,0.08485734367370605,rms_norm
64,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.08425989074707031,rms_norm
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
32,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0867520004272461,rms_norm
64,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.02099189758300781,rms_norm
128,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
16,512,2048,a100,108,54,7,6912,432,40,40,1555,0,0.0003802624017000198,rms_norm
32,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
128,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.042092287635803215,rms_norm
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.08673827934265135,rms_norm
32,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.010477363204956056,rms_norm
64,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.04206684150695801,rms_norm
64,1024,16384,a100,108,54,7,6912,432,40,40,1555,0,0.02107617292404175,rms_norm
128,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
8,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.005294745588302613,rms_norm
4,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.010557388544082641,rms_norm
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.042127667045593266,rms_norm
64,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.08478356399536133,rms_norm
32,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.04333102073669433,rms_norm
64,2048,4096,a100,108,54,7,6912,432,40,40,1555,0,0.010478643131256102,rms_norm
128,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
32,4096,1024,a100,108,54,7,6912,432,40,40,1555,0,0.0026471936702728268,rms_norm
16,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.04235018215179444,rms_norm
128,2048,2048,a100,108,54,7,6912,432,40,40,1555,0,0.010499532842636109,rms_norm
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
32,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0433579008102417,rms_norm
64,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.08431882286071776,rms_norm
64,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.08485483551025393,rms_norm
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
16,1024,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0027165696144104004,rms_norm
8,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.002663065612316132,rms_norm
128,512,16384,a100,108,54,7,6912,432,40,40,1555,0,0.021032038402557372,rms_norm
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0433037311553955,rms_norm
32,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.04206264324188233,rms_norm
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
16,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.010550732851028442,rms_norm
32,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.08676715431213379,rms_norm
128,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.08671615982055665,rms_norm
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
32,1024,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0026875391840934753,rms_norm
64,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.04207738914489746,rms_norm
64,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.04330127353668213,rms_norm
128,16384,2048,a100,108,54,7,6912,432,40,40,1555,0,0.08441036796569823,rms_norm
4,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.01049169931411743,rms_norm
2,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.002682163119316101,rms_norm
128,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0867709945678711,rms_norm
64,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.02102891492843628,rms_norm
32,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.08672153511047363,rms_norm
64,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.04334535694122314,rms_norm
128,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.08426608581542969,rms_norm
32,2048,16384,a100,108,54,7,6912,432,40,40,1555,0,0.021042995357513427,rms_norm
16,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.021016627407073975,rms_norm
128,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.08672337913513184,rms_norm
32,2048,8192,a100,108,54,7,6912,432,40,40,1555,0,0.010609868717193601,rms_norm
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,1024,1024,a100,108,54,7,6912,432,40,40,1555,0,0.0013875199794769286,rms_norm
128,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
8,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.002647091221809387,rms_norm
16,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,0.08490403938293457,rms_norm
128,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.042076262283325186,rms_norm
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.08676234207153319,rms_norm
64,512,8192,a100,108,54,7,6912,432,40,40,1555,0,0.005315737628936768,rms_norm
32,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.010507827234268187,rms_norm
64,2048,16384,a100,108,54,7,6912,432,40,40,1555,0,0.042398207855224614,rms_norm
128,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
16,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.02116234254837036,rms_norm
32,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0210287615776062,rms_norm
128,2048,8192,a100,108,54,7,6912,432,40,40,1555,0,0.0432778242111206,rms_norm
128,16384,2048,a100,108,54,7,6912,432,40,40,1555,0,0.08445373344421388,rms_norm
32,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.04236262416839599,rms_norm
64,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.08673075065612793,rms_norm
128,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
8,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.002633830392360687,rms_norm
8,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.010557235145568849,rms_norm
128,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.08680714263916017,rms_norm
64,16384,2048,a100,108,54,7,6912,432,40,40,1555,0,0.042125158309936524,rms_norm
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
32,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.08670561180114746,rms_norm
64,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.04330193901062012,rms_norm
128,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
32,2048,4096,a100,108,54,7,6912,432,40,40,1555,0,0.005239961624145508,rms_norm
16,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,0.08482718811035156,rms_norm
128,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.08430612411499022,rms_norm
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.08676311073303222,rms_norm
32,2048,8192,a100,108,54,7,6912,432,40,40,1555,0,0.010595071983337402,rms_norm
64,8192,1024,a100,108,54,7,6912,432,40,40,1555,0,0.010537113666534426,rms_norm
64,512,16384,a100,108,54,7,6912,432,40,40,1555,0,0.010534809732437133,rms_norm
128,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
16,4096,8192,a100,108,54,7,6912,432,40,40,1555,0,0.01055416307449341,rms_norm
8,16384,4096,a100,108,54,7,6912,432,40,40,1555,0,0.010480435228347778,rms_norm
128,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.08672261161804198,rms_norm
64,1024,8192,a100,108,54,7,6912,432,40,40,1555,0,0.010593791913986208,rms_norm
32,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,0.08480312156677247,rms_norm
64,2048,2048,a100,108,54,7,6912,432,40,40,1555,0,0.005263155078887939,rms_norm
128,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
16,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.010477670478820802,rms_norm
32,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,0.04331115531921387,rms_norm
128,2048,4096,a100,108,54,7,6912,432,40,40,1555,0,0.0209956353187561,rms_norm
64,16384,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
32,4096,2048,a100,108,54,7,6912,432,40,40,1555,0,0.005262694263458252,rms_norm
64,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
128,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.08428001365661622,rms_norm
2,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.0026624000072479246,rms_norm
4,16384,8192,a100,108,54,7,6912,432,40,40,1555,0,0.010615039920806885,rms_norm
128,8192,8192,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,8192,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
64,4096,4096,a100,108,54,7,6912,432,40,40,1555,0,0.020978995037078854,rms_norm
32,8192,4096,a100,108,54,7,6912,432,40,40,1555,0,0.02105850858688354,rms_norm
64,1024,8192,a100,108,54,7,6912,432,40,40,1555,0,0.010577715206146239,rms_norm
128,16384,1024,a100,108,54,7,6912,432,40,40,1555,0,0.04235709457397461,rms_norm
32,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,0.04235525093078614,rms_norm
16,8192,2048,a100,108,54,7,6912,432,40,40,1555,0,0.005258393621444703,rms_norm
128,4096,16384,a100,108,54,7,6912,432,40,40,1555,0,,rms_norm
