batch,max_seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel,seq_length
32,2048,16384,16,4,a100,108,54,7,6912,432,40,40,1555,0,0.2232261116027832,attn,NA
64,16384,1024,128,4,a100,108,54,7,6912,432,40,40,1555,0,2.3708206665039064,attn,NA
128,8192,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
32,8192,8192,64,1,a100,108,54,7,6912,432,40,40,1555,0,1.8761443908691409,attn,NA
64,4096,4096,128,2,a100,108,54,7,6912,432,40,40,1555,0,0.4316351501464844,attn,NA
128,8192,16384,64,8,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,512,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.02939397134780883,attn,NA
16,16384,8192,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.8423446502685549,attn,NA
2,8192,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.02880143346786499,attn,NA
64,8192,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.90891904296875,attn,NA
128,4096,4096,32,1,a100,108,54,7,6912,432,40,40,1555,0,1.0260608489990235,attn,NA
64,16384,16384,128,8,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
32,1024,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.01591976952552795,attn,NA
128,16384,4096,8,2,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,4096,16384,64,2,a100,108,54,7,6912,432,40,40,1555,0,2.5735440307617186,attn,NA
16,8192,2048,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.05346191368103028,attn,NA
16,4096,8192,128,2,a100,108,54,7,6912,432,40,40,1555,0,0.1902645767211914,attn,NA
64,8192,8192,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.520698777770996,attn,NA
128,2048,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.9270512634277346,attn,NA
32,16384,4096,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.7925865509033203,attn,NA
64,4096,4096,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.12720337905883788,attn,NA
128,16384,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,8192,2048,16,8,a100,108,54,7,6912,432,40,40,1555,0,0.08371153907775879,attn,NA
8,8192,16384,128,2,a100,108,54,7,6912,432,40,40,1555,0,0.6298749908447266,attn,NA
8,1024,2048,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.00104366078674793,attn,NA
64,16384,16384,32,1,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
128,4096,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.7642959899902344,attn,NA
64,8192,8192,16,4,a100,108,54,7,6912,432,40,40,1555,0,1.086280499267578,attn,NA
32,8192,16384,32,4,a100,108,54,7,6912,432,40,40,1555,0,1.477940838623047,attn,NA
