type,gpus,ubatch,coef,total_time_ms,total_time_ms_ci
profiling,8,1,0.7,0.403469959,2.3378530589672673e-4
profiling,8,1,0.8,0.4473471832,1.675625487155643e-4
profiling,8,1,1,0.5351205192,3.799386838677304e-4
profiling,8,1,1.1,0.5826494600000001,0.0010815545741520156
profiling,8,1,1.3,0.6683195822,2.322415700274458e-4
profiling,8,1,1.4,0.715542363,3.0013923024775266e-4
profiling,8,1,1.5,0.758584091,3.0992288891416587e-4
profiling,8,1,1.6,0.8037496646,3.7142680606781737e-4
profiling,8,2,0.5,0.5328489048,0.0024864788679475297
profiling,8,2,0.7,0.7007918382,2.461458134159248e-4
profiling,8,2,0.8,0.7899959046,3.071146554273479e-4
profiling,8,2,1,0.97208091235,8.444377083304092e-4
profiling,8,2,1.1,1.056504711,2.933900807421677e-4
profiling,8,2,1.3,1.241199421,0.001059221850905662
profiling,8,2,1.4,1.3287142978,4.1356390794854386e-4
profiling,8,2,1.5,1.4188224578,3.8820695482773764e-4
profiling,8,2,1.6,1.5124198162,3.556116803631366e-4
profiling,8,4,0.5,0.954333919,9.704024619566785e-4
profiling,8,4,0.7,1.3131852818,0.0011151904864202446
profiling,8,4,1,1.8657020802,0.0014588884630180477
profiling,8,8,0.5,1.9961953842,0.0021879949656356383
profiling,8,8,0.7,2.802359701,0.004480375045303856
profiling,8,8,1,3.9988151824,0.007776819410500424
roofline,1,1,no,0.101972672,0
roofline,1,2,no,0.193204544,0
roofline,1,4,no,0.375667904,0
roofline,1,8,no,0.740595008,0
roofline,16,1,no,0.258254456,0
roofline,16,2,no,0.309163064,0
roofline,16,4,no,0.47341868800000003,0
roofline,16,8,no,0.833216064,0
roofline,2,1,no,0.16160924,0
roofline,2,2,no,0.243116568,0
roofline,2,4,no,0.42301532000000003,0
roofline,2,8,no,0.782812696,0
roofline,32,1,no,0.27675836800000003,0
roofline,32,2,no,0.324278768,0
roofline,32,4,no,0.48236668,0
roofline,32,8,no,0.842164056,0
roofline,4,1,no,0.2052968,0
roofline,4,2,no,0.27013485600000003,0
roofline,4,4,no,0.449677288,0
roofline,4,8,no,0.809474664,0
roofline,8,1,no,0.239030256,0
roofline,8,2,no,0.293643072,0
roofline,8,4,no,0.464077848,0
roofline,8,8,no,0.823875224,0
real,16,1,NA,0.8167404770851135,5.375075679195356e-4
real,16,2,NA,0.9927404165267945,0.0035784008958187935
real,1,1,NA,0.30617097616195676,8.856019046561845e-5
real,1,2,NA,0.5476656079292297,2.6149470720681543e-4
real,2,1,NA,0.42992382049560546,1.4970280607590225e-4
real,2,2,NA,0.7138888597488403,1.74968434838153e-4
real,32,1,NA,1.0822197079658509,2.0612363653591903e-4
real,32,2,NA,1.2414350032806396,2.6024777751091456e-4
real,4,1,NA,0.43029974699020385,1.6055110175803455e-4
real,4,2,NA,0.7128999352455139,2.647046748647202e-4
real,8,1,NA,0.42860305309295654,1.5493082482236767e-4
real,8,2,NA,0.7119557380676269,3.472728852061802e-4
